entry_time,position,entry_price,sl,tp,exit_time,exit_reason,exit_price,pnl,wins,cumulative_pnl,equity_curve
2025-06-29 08:31:00,short,107551.3,108051.3,107431.3,2025-06-29 08:31:00,TP hit,107431.3,120.0,1,120.0,107671.3
2025-06-29 16:56:00,short,107400.4,107900.4,107280.4,2025-06-29 17:39:00,TP hit,107280.4,120.0,1,120.0,107520.4
2025-06-30 07:41:00,short,107595.9,108095.9,107475.9,2025-06-30 07:48:00,TP hit,107475.9,120.0,1,120.0,107715.9
2025-06-30 07:48:00,short,107611.6,108111.6,107491.6,2025-06-30 07:48:00,TP hit,107491.6,120.0,1,240.0,107835.9
2025-06-30 08:06:00,short,107679.1,108179.1,107559.1,2025-06-30 08:24:00,TP hit,107559.1,120.0,1,720.0,108315.9
2025-06-30 08:22:00,short,107632.2,108132.2,107512.2,2025-06-30 08:24:00,TP hit,107512.2,120.0,1,840.0,108435.9
2025-06-30 08:31:00,short,107576.2,108076.2,107456.2,2025-06-30 08:47:00,TP hit,107456.2,120.0,1,7680.0,115275.9
